step,train_loss,val_loss
1,4.116868,3.767409
10,2.814075,2.864026
20,1.916787,1.974242
30,1.433010,1.457484
40,1.019676,1.117416
50,0.819467,0.877259
60,0.597910,0.722623
70,0.517884,0.673054
80,0.533486,0.612137
90,0.478198,0.603314
100,0.468245,0.603896
110,0.474433,0.590329
120,0.495492,0.584490
130,0.430458,0.595628
140,0.436823,0.602412
150,0.518955,0.610422
160,0.466926,0.590306
170,0.396099,0.618319
180,0.447931,0.604406
190,0.401068,0.611327
200,0.432868,0.600775
210,0.397334,0.614438
220,0.447310,0.606359
230,0.427648,0.608195
240,0.451110,0.622583
250,0.446552,0.601926
260,0.409464,0.612716
270,0.442785,0.622048
280,0.461826,0.616362
290,0.449378,0.611270
300,0.443114,0.613924
